cov	cov	cov	env	indid	cov
10	10	10	10	04D01800	10
0	0	0	0	04D01801	0
0	0	0	0	04D01803	0
0	0	0	0	04D01811	0
0	0	0	0	04D01814	0
0	0	0	0	04D01830	0
0	0	0	0	04D01832	0
0	0	0	2	04D01841	0
0	0	0	1	04D01850	0
0	0	0	0	04D01852	0
0	0	0	0	04D01853	0
0	0	0	0	04D01862	0
0	0	0	0	04D01875	0
0	0	0	0	04D01879	0
0	0	0	0	04D01886	0
0	0	0	2	04D01891	0
0	0	0	0	04D01899	0
0	0	0	1	04D01900	0
0	0	0	0	04D01901	0
0	0	0	0	04D01902	0
0	0	0	0	04D01906	0
0	0	0	0	04D01918	0
0	0	0	0	04D02007	0
0	0	0	0	04D02096	0
0	0	0	0	04D02105	0
0	0	0	0	04D02112	0
0	0	0	0	04D02124	0
0	0	0	0	04D02130	0
0	0	0	1	04D02138	0
0	0	0	0	04D02145	0
0	0	0	0	04D02224	0
0	0	0	0	04D02234	0
0	0	0	NA	04D02236	0
0	0	0	0	04D02250	0
0	0	0	0	04D02251	0
0	0	0	0	04D02275	0
0	0	0	0	04D02311	0
0	0	0	0	04D02313	0
0	0	0	0	04D02314	0
0	0	0	0	04D02317	0
0	0	0	0	04D02331	0
0	0	0	0	04D02335	0
0	0	0	0	04D02347	0
0	0	0	0	04D02349	0
0	0	0	0	04D02424	0
0	0	0	0	04D02428	0
0	0	0	0	04D02431	0
0	0	0	1	04D02434	0
0	0	0	0	04D02435	0
0	0	0	0	04D02444	0
0	0	0	0	04D02503	0
0	0	0	0	04D02504	0
0	0	0	0	04D02518	0
0	0	0	0	04D02525	0
0	0	0	0	04D02526	0
0	0	0	0	04D02538	0
0	0	0	0	04D02540	0
0	0	0	0	04D02547	0
0	0	0	0	04D02575	0
0	0	0	1	04D02597	0
0	0	0	0	04D02598	0
0	0	0	0	05D00002	0
0	0	0	0	05D00003	0
0	0	0	0	05D00004	0
0	0	0	1	05D00019	0
0	0	0	NA	05D00023	0
0	0	0	0	05D00024	0
0	0	0	0	05D00045	0
0	0	0	0	05D00051	0
0	0	0	0	05D00060	0
0	0	0	0	05D00064	0
0	0	0	0	05D00066	0
0	0	0	0	05D00080	0
0	0	0	1	05D00110	0
0	0	0	0	05D00116	0
0	0	0	0	05D00119	0
0	0	0	0	05D00133	0
0	0	0	1	05D00270	0
0	0	0	0	05D00272	0
0	0	0	0	05D00285	0
0	0	0	0	05D00286	0
0	0	0	0	05D00290	0
0	0	0	1	05D00297	0
0	0	0	0	05D00298	0
0	0	0	0	05D00322	0
0	0	0	0	05D00336	0
0	0	0	0	05D00340	0
0	0	0	0	05D00345	0
0	0	0	1	05D00363	0
0	0	0	0	05D00364	0
0	0	0	0	05D00366	0
0	0	0	0	05D00372	0
0	0	0	0	05D00374	0
0	0	0	0	05D00375	0
0	0	0	0	05D00389	0
0	0	0	0	05D00392	0
0	0	0	0	05D00395	0
0	0	0	1	05D00412	0
0	0	0	0	05D00413	0
0	0	0	0	05D00422	0
0	0	0	0	05D00425	0
0	0	0	0	05D00430	0
0	0	0	0	05D00451	0
0	0	0	0	05D00462	0
0	0	0	0	05D00473	0
0	0	0	0	05D00474	0
0	0	0	0	05D00475	0
0	0	0	1	05D00476	0
0	0	0	0	05D00477	0
0	0	0	0	05D00490	0
0	0	0	0	05D00491	0
0	0	0	0	05D00498	0
0	0	0	0	05D00501	0
0	0	0	0	05D00502	0
0	0	0	0	05D00503	0
0	0	0	1	05D00504	0
0	0	0	0	05D00518	0
0	0	0	0	05D00522	0
0	0	0	0	05D00523	0
0	0	0	0	05D00524	0
0	0	0	0	05D00525	0
0	0	0	0	05D00529	0
0	0	0	1	05D00533	0
0	0	0	0	05D00534	0
0	0	0	0	05D00535	0
0	0	0	0	05D00536	0
