cov	env	indid
1	1	per0
2	0	per1
1	1	per10
2	1	per100
1	1	per1000
0	0	per1001
2	1	per1002
1	0	per1003
2	1	per1004
1	0	per1005
1	0	per1006
2	0	per1007
2	1	per1008
0	1	per1009
2	1	per101
1	1	per1010
1	0	per1011
1	0	per1012
1	1	per1013
1	1	per1014
0	1	per1015
1	1	per1016
1	1	per1017
1	1	per1018
2	0	per1019
2	0	per102
2	0	per1020
1	1	per1021
1	1	per1022
1	1	per1023
1	0	per1024
1	0	per1025
1	1	per1026
1	0	per1027
2	1	per1028
2	1	per1029
0	1	per103
1	1	per1030
1	0	per1031
0	0	per1032
0	1	per1033
0	1	per1034
0	0	per1035
1	0	per1036
0	1	per1037
0	0	per1038
0	1	per1039
1	0	per104
2	0	per1040
1	1	per1041
1	0	per1042
1	0	per1043
1	0	per1044
2	0	per1045
1	0	per1046
1	1	per1047
2	0	per1048
0	1	per1049
0	0	per105
2	0	per1050
2	0	per1051
2	1	per1052
0	0	per1053
2	0	per1054
0	0	per1055
1	1	per1056
1	0	per1057
1	1	per1058
1	1	per1059
0	0	per106
0	0	per1060
1	0	per1061
2	1	per1062
1	1	per1063
1	1	per1064
1	1	per1065
1	1	per1066
1	1	per1067
2	0	per1068
2	0	per1069
1	0	per107
0	1	per1070
1	0	per1071
1	1	per1072
1	0	per1073
1	0	per1074
2	0	per1075
1	1	per1076
1	0	per1077
2	0	per1078
2	1	per1079
1	0	per108
1	0	per1080
0	1	per1081
2	0	per1082
1	1	per1083
0	0	per1084
0	0	per1085
1	0	per1086
1	1	per1087
1	1	per1088
1	1	per1089
1	0	per109
2	0	per1090
1	1	per1091
2	0	per1092
1	1	per1093
1	1	per1094
0	1	per1095
2	0	per1096
1	1	per1097
0	1	per1098
1	0	per1099
1	1	per11
0	1	per110
0	1	per1100
1	0	per1101
2	1	per1102
1	1	per1103
1	1	per1104
1	0	per1105
1	0	per1106
0	1	per1107
1	1	per1108
1	1	per1109
0	1	per111
2	1	per1110
0	1	per1111
2	0	per1112
1	0	per1113
1	1	per1114
0	0	per1115
1	1	per1116
2	0	per1117
0	0	per1118
1	1	per1119
1	0	per112
1	0	per1120
1	0	per1121
0	0	per1122
2	1	per1123
1	0	per1124
1	1	per1125
1	0	per1126
1	1	per1127
2	0	per1128
1	1	per1129
1	0	per113
0	1	per1130
0	1	per1131
1	1	per1132
1	0	per1133
1	0	per1134
1	0	per1135
1	0	per1136
0	0	per1137
0	1	per1138
1	0	per1139
1	1	per114
0	1	per1140
1	0	per1141
1	1	per1142
1	0	per1143
0	1	per1144
1	1	per1145
1	1	per1146
0	1	per1147
0	1	per1148
0	1	per1149
1	1	per115
1	1	per1150
1	1	per1151
2	1	per1152
1	0	per1153
1	0	per1154
2	1	per1155
2	1	per1156
0	1	per1157
1	1	per1158
2	0	per1159
1	1	per116
2	0	per1160
2	1	per1161
2	0	per1162
0	1	per1163
0	0	per1164
0	0	per1165
0	0	per1166
2	0	per1167
0	1	per1168
0	1	per1169
0	1	per117
1	0	per1170
1	0	per1171
2	1	per1172
2	1	per1173
1	0	per1174
2	1	per1175
2	1	per1176
0	1	per1177
2	0	per1178
0	0	per1179
1	1	per118
1	0	per1180
2	0	per1181
1	1	per1182
0	0	per1183
0	1	per1184
0	0	per1185
1	0	per1186
1	1	per1187
1	0	per1188
2	0	per1189
1	1	per119
1	1	per1190
2	1	per1191
1	1	per1192
1	0	per1193
0	0	per1194
1	1	per1195
1	0	per1196
1	0	per1197
1	0	per1198
1	0	per1199
1	0	per12
1	0	per120
1	0	per1200
0	0	per1201
2	0	per1202
0	0	per1203
1	0	per1204
1	1	per1205
1	1	per1206
1	1	per1207
0	1	per1208
2	1	per1209
1	0	per121
0	0	per1210
1	0	per1211
1	1	per1212
2	0	per1213
1	1	per1214
2	0	per1215
2	0	per1216
2	1	per1217
0	0	per1218
0	1	per1219
1	0	per122
2	1	per1220
1	0	per1221
1	0	per1222
2	0	per1223
2	1	per1224
1	0	per1225
1	0	per1226
1	1	per1227
1	1	per1228
1	1	per1229
2	1	per123
